,fairness,utility,total
0,1.128,0.5302302572978665,0.5302302572978665
1,3.3449,0.5994348830062007,0.5994348830062007
2,3.3074,0.6195738723978199,0.6195738723978199
3,3.4287,0.6206783739758862,0.6206783739758862
4,3.3491,0.6274429251964232,0.6274429251964232
5,3.2876,0.6314894553319873,0.6314894553319873
6,3.2545,0.6362577986701226,0.6362577986701226
7,3.2335,0.6372208704766189,0.6372208704766189
8,3.2808,0.6343835862186592,0.6343835862186592
9,3.286,0.6346013129111335,0.6346013129111335
10,3.2792,0.6354132472724248,0.6354132472724248
11,3.2645,0.6361319426060237,0.6361319426060237
12,3.268,0.6369787180739132,0.6369787180739132
13,3.2757,0.6369935542317917,0.6369935542317917
14,3.2808,0.6366242690639278,0.6366242690639278
15,3.2226,0.6356374551624316,0.6356374551624316
16,3.2398,0.6356759694821779,0.6356759694821779
17,3.306,0.6357520258786888,0.6357520258786888
18,3.2828,0.6352439293524498,0.6352439293524498
19,3.3063,0.6346687795113147,0.6346687795113147
20,3.349,0.6335026318839684,0.6335026318839684
21,3.5585,0.6327744620627458,0.6327744620627458
22,3.5356,0.6324496906424453,0.6324496906424453
23,3.3486,0.6332924326922408,0.6332924326922408
24,3.3134,0.6332246837476476,0.6332246837476476
25,3.4747,0.6325427307046406,0.6325427307046406
26,3.1941,0.6320159451130559,0.6320159451130559
27,3.4684,0.6312134855018176,0.6312134855018176
28,3.4725,0.6322480965324729,0.6322480965324729
29,3.4322,0.6331942137639557,0.6331942137639557
30,3.3633,0.633918651200778,0.633918651200778
31,3.2477,0.6361551785110895,0.6361551785110895
32,3.3502,0.6349459673435559,0.6349459673435559
33,3.5129,0.633759828668901,0.633759828668901
34,3.4661,0.6341485851492937,0.6341485851492937
35,3.4362,0.6348296534562555,0.6348296534562555
36,3.303,0.6349627606636645,0.6349627606636645
37,3.2443,0.6348069244629955,0.6348069244629955
38,3.2608,0.6361783965224496,0.6361783965224496
39,3.2696,0.6362794774704181,0.6362794774704181
40,3.2722,0.6359033019336054,0.6359033019336054
41,3.2904,0.6361585203431762,0.6361585203431762
42,3.3197,0.6373586605652816,0.6373586605652816
43,3.3618,0.638829522702426,0.638829522702426
44,3.3613,0.6402173034670003,0.6402173034670003
45,3.4158,0.6408358776987323,0.6408358776987323
46,3.4474,0.6412832793924539,0.6412832793924539
47,3.4599,0.64164257399214,0.64164257399214
48,3.4755,0.6418600952658219,0.6418600952658219
49,3.2449,0.6431566468508524,0.6431566468508524
50,3.2659,0.6430147547990338,0.6430147547990338
51,3.2116,0.6434847792596401,0.6434847792596401
52,3.226,0.6439090227054789,0.6439090227054789
53,3.2743,0.644664152415486,0.644664152415486
54,3.2707,0.6446585970964481,0.6446585970964481
55,3.2853,0.6449477453544189,0.6449477453544189
56,3.298,0.6454188736842869,0.6454188736842869
57,3.3143,0.6454361491659596,0.6454361491659596
58,3.3193,0.6453756906815722,0.6453756906815722
59,3.3879,0.6456480722539122,0.6456480722539122
