,fairness,utility,total
0,2.0901,0.4492342275439913,0.4492342275439913
1,3.1941,0.5788679919360438,0.5788679919360438
2,3.5189,0.614507329972811,0.614507329972811
3,3.4962,0.6181926862422443,0.6181926862422443
4,3.4093,0.6248652764239633,0.6248652764239633
5,3.3393,0.6300830820701842,0.6300830820701842
6,3.3467,0.6317227390465788,0.6317227390465788
7,3.3282,0.6351676618103411,0.6351676618103411
8,3.3497,0.6338874543848779,0.6338874543848779
9,3.3231,0.6349634793988361,0.6349634793988361
10,3.3099,0.6358008182724642,0.6358008182724642
11,3.3066,0.6358881141601294,0.6358881141601294
12,3.3044,0.6363974718654247,0.6363974718654247
13,3.2968,0.6369866986927417,0.6369866986927417
14,3.3016,0.6368011659653842,0.6368011659653842
15,3.2997,0.6366945816671566,0.6366945816671566
16,3.3003,0.6363162873562965,0.6363162873562965
17,3.3174,0.6356363245856976,0.6356363245856976
18,3.2525,0.6344479460780865,0.6344479460780865
19,3.2001,0.6331816951928553,0.6331816951928553
20,3.4268,0.6313320253639001,0.6313320253639001
21,3.4065,0.6309896311046044,0.6309896311046044
22,3.3938,0.6306698055041524,0.6306698055041524
23,3.3176,0.6306268415959165,0.6306268415959165
24,3.3706,0.6302879130422586,0.6302879130422586
25,3.3626,0.6299816745270747,0.6299816745270747
26,3.3637,0.6296426268264006,0.6296426268264006
27,3.3774,0.6296243324958772,0.6296243324958772
28,3.3879,0.6296066754874418,0.6296066754874418
29,3.3788,0.6298901056893665,0.6298901056893665
30,3.3967,0.630037849065387,0.630037849065387
31,3.389,0.6305860174871364,0.6305860174871364
32,3.3751,0.6306676386235479,0.6306676386235479
33,3.3699,0.6308497775485451,0.6308497775485451
34,3.3394,0.6314224170376268,0.6314224170376268
35,3.2814,0.632089401374108,0.632089401374108
36,3.1441,0.6323867832453237,0.6323867832453237
37,3.1382,0.632767035558665,0.632767035558665
38,3.1491,0.6331890108802073,0.6331890108802073
39,3.1585,0.6332989937038446,0.6332989937038446
40,3.1721,0.6335372485621359,0.6335372485621359
41,3.1872,0.633914998901904,0.633914998901904
42,3.2175,0.634695651244851,0.634695651244851
43,3.2597,0.6357511571190944,0.6357511571190944
44,3.3042,0.637402518650626,0.637402518650626
45,3.3325,0.6385280597518567,0.6385280597518567
46,3.3617,0.6396131120617086,0.6396131120617086
47,3.3875,0.6401558043144027,0.6401558043144027
48,3.4321,0.6411971910802293,0.6411971910802293
49,3.4732,0.642103255706388,0.642103255706388
50,3.4869,0.64226632861268,0.64226632861268
51,3.4183,0.6427278015919847,0.6427278015919847
52,3.2852,0.6436219158141919,0.6436219158141919
53,3.2064,0.6444656272870716,0.6444656272870716
54,3.2387,0.6449154512710301,0.6449154512710301
55,3.2769,0.6453430056445347,0.6453430056445347
56,3.2931,0.6455190867531251,0.6455190867531251
57,3.3125,0.6457072941256701,0.6457072941256701
58,3.3432,0.6459105299976204,0.6459105299976204
59,3.3775,0.6460138698893307,0.6460138698893307
