,fairness,utility,total
0,1.7114,0.4711790554030579,-0.620110472298471
1,1.3697,0.5324698759210061,-0.4186150620394969
2,1.1662,0.5369837821330629,-0.3146081089334685
3,1.376,0.559060682768771,-0.40846965861561446
4,1.4397,0.569304049643634,-0.435197975178183
5,1.1522,0.5625466261422892,-0.29482668692885533
6,1.2929,0.5791500281620572,-0.3568749859189714
7,1.3301,0.5798399527245552,-0.3751300236377224
8,1.1184,0.5739835187926459,-0.2722082406036771
9,1.1541,0.571374598149989,-0.29136270092500544
10,1.0733,0.5735695694034312,-0.24986521529828437
11,1.0008,0.5706728560740917,-0.21506357196295411
12,1.0445,0.5740739040127123,-0.23521304799364384
13,0.8698,0.5690125843870695,-0.15039370780646527
14,0.9842,0.5730958508965504,-0.2055520745517248
15,0.7571,0.5680504830008756,-0.09452475849956221
16,0.7962,0.5658225479335895,-0.11518872603320524
17,0.8607,0.5682767235798517,-0.14621163821007416
18,0.8651,0.5698308621463921,-0.14763456892680393
19,0.9207,0.5700823886748733,-0.17530880566256335
20,0.9435,0.5679016269740749,-0.18779918651296257
21,0.9833,0.5688390828964742,-0.20723045855176286
22,0.9371,0.5691023976419094,-0.18399880117904532
23,0.9863,0.5708591987424531,-0.20772040062877345
24,0.9622,0.5706623181667533,-0.1957688409166234
25,0.9419,0.5700132074605959,-0.18594339626970202
26,0.9581,0.5718741624266039,-0.193112918786698
27,1.0894,0.5734904115879624,-0.25795479420601874
28,1.2871,0.5764423380015061,-0.3553288309992469
29,0.9848,0.5724524230357222,-0.2061737884821389
30,1.0756,0.5765892321570729,-0.24950538392146349
31,1.1247,0.5780692373936394,-0.27331538130318034
32,1.1252,0.5786410250609872,-0.27327948746950637
33,1.1367,0.5755541427784001,-0.28057292861079997
34,1.0701,0.5743383390196684,-0.24788083049016585
35,1.121,0.5748414895282788,-0.2730792552358606
36,1.1602,0.5780289953861237,-0.2910855023069381
37,1.0378,0.5730218453460086,-0.2323890773269957
38,1.0927,0.5745578925275187,-0.2590710537362407
39,1.0386,0.5728608725918147,-0.23286956370409262
40,1.2644,0.5818472613480464,-0.34127636932597677
41,1.1549,0.5772847521956976,-0.2888076239021512
42,1.1835,0.5747900186862284,-0.3043549906568858
43,1.3616,0.5741454849242085,-0.3937272575378957
44,1.3562,0.5794942941755201,-0.38835285291224
45,1.297,0.5762502092556179,-0.36037489537219103
46,1.3694,0.5746611887149699,-0.39736940564251505
47,1.3464,0.5747250327022005,-0.38583748364889975
48,1.3622,0.5796068157356973,-0.3912965921321514
49,1.2882,0.5762227430970149,-0.35598862845149254
50,1.3835,0.5787338377903662,-0.40238308110481685
51,1.3752,0.578280306322497,-0.39845984683875146
52,1.5664,0.5813837244232984,-0.4925081377883508
53,1.4181,0.5797708373597518,-0.4191645813201241
54,1.5063,0.5820858514072604,-0.46210707429636977
55,1.4641,0.581724560967334,-0.44118771951633295
56,1.4766,0.5805107101885033,-0.4480446449057483
57,1.6238,0.5847158401659277,-0.519542079917036
58,1.3397,0.5815235362679708,-0.37908823186601454
59,1.4066,0.5800761251633006,-0.4132619374183497
