,fairness,utility,total
0,0.2139,0.49560878406177905,-0.2139
1,0.0451,0.49853116652423185,-0.0451
2,0.0321,0.49885308762950986,-0.0321
3,0.0283,0.49967079561582195,-0.0283
4,0.0183,0.4995553820368276,-0.0183
5,0.0112,0.5001185642512443,-0.0112
6,0.0124,0.5001015620945917,-0.0124
7,0.0084,0.5000804876432062,-0.0084
8,0.0079,0.5002036242330489,-0.0079
9,0.0116,0.5001107856675812,-0.0116
10,0.0065,0.5000957694711636,-0.0065
11,0.0049,0.5002083048827171,-0.0049
12,0.0055,0.5001862005305875,-0.0055
13,0.0052,0.500084069855598,-0.0052
14,0.0122,0.5000891654566314,-0.0122
15,0.0043,0.5001018524302729,-0.0043
16,0.0035,0.5001215038104914,-0.0035
17,0.0025,0.5001945232322679,-0.0025
18,0.0033,0.500211894949087,-0.0033
19,0.0028,0.5002285377259218,-0.0028
20,0.0018,0.5002662791563928,-0.0018
21,0.002,0.5002471211754556,-0.002
22,0.0021,0.5002410135464624,-0.0021
23,0.002,0.5002304824170151,-0.002
24,0.0012,0.500250688472719,-0.0012
25,0.0016,0.5002722041924497,-0.0016
26,0.002,0.5002668616415229,-0.002
27,0.001,0.5002372851871631,-0.001
28,0.0012,0.500293986381764,-0.0012
29,0.0014,0.5003048517156821,-0.0014
30,0.0006,0.5002708386159789,-0.0006
31,0.0017,0.5002767846488324,-0.0017
32,0.001,0.5003002472094817,-0.001
33,0.0008,0.5003031260719732,-0.0008
34,0.0009,0.500291434977351,-0.0009
35,0.001,0.5002896612688662,-0.001
36,0.0006,0.5003027896996748,-0.0006
37,0.0006,0.5002878829272301,-0.0006
38,0.0009,0.5002884232016601,-0.0009
39,0.0003,0.5002987874570829,-0.0003
40,0.0005,0.5002942238938397,-0.0005
41,0.0008,0.5003089633894797,-0.0008
42,0.0004,0.5002911471442926,-0.0004
43,0.0003,0.500300602957301,-0.0003
44,0.0003,0.5002937429072228,-0.0003
45,0.0007,0.5002948399357049,-0.0007
46,0.0006,0.5002995272252689,-0.0006
47,0.0006,0.5002718178562863,-0.0006
48,0.0004,0.5003009596435193,-0.0004
49,0.0004,0.500283382279103,-0.0004
50,0.0002,0.5002910189394636,-0.0002
51,0.0002,0.5002956347323686,-0.0002
52,0.0003,0.5002882103725274,-0.0003
53,0.0005,0.5003027019997317,-0.0005
54,0.0003,0.5002912731288246,-0.0003
55,0.0005,0.5002931583882753,-0.0005
56,0.0004,0.5002870629168322,-0.0004
57,0.0009,0.5002960563361714,-0.0009
58,0.0003,0.5002894044611809,-0.0003
59,0.0005,0.500297335941645,-0.0005
